x,y,velocity,point_count,deviation
99566.09614,-547236.2679,1207.3819,19,60.5157197
99623.81012,-547186.0993,1201.152245,21,116.7262835
99479.96045,-547135.0744,1211.153769,13,28.56639044
99229.62551,-547076.3716,1212.049989,41,280.5225529
99606.19434,-547034.0033,1251.340894,20,94.63900198
99312.62461,-546980.3109,1222.171055,13,200.3894399
99552.22203,-546928.8836,1227.1155,13,37.59028716
99526.22259,-546878.4278,1312.93268,12,10.11378859
99265.62783,-546812.0402,1330.251509,20,252.3249219
99425.06659,-546760.8878,1321.650571,13,94.46306091
99505.4615,-546711.985,1309.696386,13,15.54452126
99600.68976,-546662.4809,1344.606849,19,78.18563172
99356.54622,-546606.3255,1245.628049,17,167.5093796
99429.49022,-546557.8276,1246.607903,15,96.0241152
99582.23499,-546511.0293,1292.615924,16,55.2830588
99393.13327,-546461.9235,1234.134685,15,135.1908005
99721.11414,-546410.718,1263.653035,15,191.140981
99505.18084,-546361.9989,1300.504865,17,26.13961023
99580.89513,-546305.2777,1319.27896,16,47.87669128
99696.51356,-546253.3724,1413.135334,17,161.9133862
99531.14721,-546193.688,1384.516642,18,5.167646428
99708.23992,-546153.056,1470.147984,14,170.6789807
99720.12327,-546094.4,1460.367801,21,180.8296647
99818.32786,-546040.3323,1438.667259,17,277.3973973
99690.72117,-545987.0407,1451.975965,15,148.2758866
99400.5099,-545933.0219,1317.475841,15,143.4034088
99799.79132,-545880.8647,1447.256344,13,254.1715477
99500.52441,-545827.4436,1439.129318,13,46.54217281
99525.00325,-545784.3828,1424.541257,13,23.3484128
99557.6692,-545718.1162,1379.130616,16,7.384700797
99398.29356,-545663.0984,1336.50355,12,153.5728529
99294.11008,-545625.5565,1258.052886,48,258.8152493
99484.08024,-545559.1436,1339.153837,14,70.88667247
99553.21911,-545504.9009,1341.104579,15,3.396404509
99269.9219,-545445.0198,1240.400861,15,288.3131766
99134.02304,-545399.6154,1190.630786,14,425.4897896
99671.63369,-545350.6801,1172.427169,20,110.4484765
99650.51132,-545298.481,1168.539703,19,87.79798173
99504.906,-545239.1259,1159.319695,20,59.49679921
99875.53933,-545180.4979,1148.924315,22,309.2491144
99434.11002,-545125.0555,1138.100518,20,133.6231485
99908.70634,-545081.0772,1138.106223,21,339.4716715
99445.4001,-545026.4055,1153.445844,15,125.2462613
99766.68558,-544974.1207,1137.564638,15,194.3612715
99510.60632,-544925.9651,1140.220682,17,63.03365576
99560.83537,-544858.0277,1154.16786,14,14.82495218
99692.90948,-544804.7174,1145.242602,12,115.6262145
98683.53708,-544744.2163,1017.752386,52,895.0916043
99381.79228,-544701.3056,1053.326237,14,198.4041478
99416.12706,-544642.0437,1130.397257,17,165.8302591
99513.90302,-544584.3508,1152.172287,10,69.79851757
99553.34066,-544530.8578,1165.393664,14,31.96423827
99723.18775,-544478.4254,1214.153069,66,136.2770676
99860.99665,-544436.2425,1244.096193,42,272.7831739
99672.41646,-544369.0286,1210.761563,12,82.30420063
100139.9796,-544320.0403,1137.918233,32,548.2206659
99725.2408,-544269.8236,1173.396078,14,132.1847235
99636.85218,-544216.6666,1178.106907,18,42.26681153
99948.50022,-544157.6265,1113.049266,23,352.038173
99305.45894,-544104.8222,1237.806576,16,292.2800898
99671.10636,-544058.7118,1137.51571,9,71.85182624
100172.2488,-544000.3305,1131.828722,33,571.0548432
99845.23703,-543952.7108,1159.987538,19,242.7821954
99676.69021,-543890.061,1153.424834,13,72.46637443
99518.13129,-543829.0659,1098.156488,14,87.82654047
99522.28894,-543761.3935,1160.398599,8,85.6664529
99332.94714,-543708.9976,1137.848786,14,276.4667922
99482.50166,-543649.2647,1152.049461,10,128.7373688
99777.73904,-543605.691,1076.539969,12,165.0885084
99152.48523,-543537.9664,1343.576024,9,461.8899786
100097.0794,-543487.7847,1189.758331,32,480.8156637
99216.91202,-543443.7378,1353.337148,9,400.2676233
99738.18791,-543387.077,1169.132086,12,119.1127262
99348.73831,-543326.0581,1314.970865,9,271.9670183
100094.9511,-543282.0262,1142.352667,46,472.6259515
99967.94692,-543225.168,1148.84279,9,344.0011299
99455.3186,-543171.8633,1098.473608,12,169.9761861
99692.56839,-543109.8867,1169.129045,11,65.34754532
99243.82254,-543061.2778,1293.265978,9,384.6389631
99641.69568,-543002.5253,1141.148816,12,11.35594252
99261.50408,-542940.6915,1183.355589,11,370.5174287
99802.10591,-542896.2962,1172.63234,7,168.5416283
99830.37002,-542830.3757,1160.716079,38,194.8529482
99872.57863,-542801.05,1186.126004,24,236.1779236
99606.18206,-542742.1094,1150.537809,19,31.84402351
99537.08457,-542688.2979,1178.353367,17,102.493735
99266.38787,-542633.9221,1156.985355,20,374.6753322
