site,station,segment,spatial_location_index,x_mm,y_mm,velocity_mm_s,point_count,deviation_mm
wujiaochang,Wujiaochang,1,140,99247.56871,-574665.312,1366.751676,5,480.0691761
wujiaochang,Wujiaochang,1,141,99281.111,-574612.7883,1359.733643,4,443.8569032
wujiaochang,Wujiaochang,1,142,99233.18141,-574561.5904,1354.62544,5,489.0764622
wujiaochang,Wujiaochang,1,143,99266.88517,-574502.9168,1348.693524,6,452.3857469
wujiaochang,Wujiaochang,1,144,99220.40433,-574444.5892,1342.42289,5,495.7901035
wujiaochang,Wujiaochang,1,145,99217.45392,-574390.1719,1339.306514,5,495.9236977
wujiaochang,Wujiaochang,1,146,99254.79594,-574329.6333,1337.690099,6,455.5028513
wujiaochang,Wujiaochang,1,147,99255.73658,-574267.5425,1336.370113,4,451.3544731
wujiaochang,Wujiaochang,1,148,99257.21546,-574213.2917,1337.142756,4,447.0738417
wujiaochang,Wujiaochang,1,149,99222.22177,-574154.3806,1339.570068,5,478.9769768
wujiaochang,Wujiaochang,1,150,99258.81348,-574096.3476,1345.739708,4,439.4350336
wujiaochang,Wujiaochang,2,1,99680.54924,-570300.6431,776.4452207,35,136.5055972
wujiaochang,Wujiaochang,2,2,99481.40177,-570247.1576,871.0101094,72,56.36591064
wujiaochang,Wujiaochang,2,3,99352.12688,-570200.503,941.8487238,31,180.3763088
wujiaochang,Wujiaochang,2,4,99514.13024,-570148.5923,887.3315533,29,14.03326689
wujiaochang,Wujiaochang,2,5,99907.04595,-570095.0745,796.981024,20,382.2592008
wujiaochang,Wujiaochang,2,6,99319.62176,-570045.4894,892.8535151,27,197.3603351
wujiaochang,Wujiaochang,2,7,99371.28239,-569995.1836,881.5872337,27,140.9681932
wujiaochang,Wujiaochang,2,8,99479.67597,-569949.4634,875.0689818,30,28.59128377
wujiaochang,Wujiaochang,2,9,99695.03677,-569893.5802,831.1715387,119,191.2629446
wujiaochang,Wujiaochang,2,10,99615.58079,-569841.3248,855.7729995,73,117.3781548
wujiaochang,Wujiaochang,2,11,99187.96169,-569795.8966,971.6743118,71,303.6376116
wujiaochang,Wujiaochang,2,12,99344.02462,-569742.6557,917.1243125,49,143.065978
wujiaochang,Wujiaochang,2,13,100068.3536,-569681.2439,834.0759086,165,583.7838208
wujiaochang,Wujiaochang,2,14,99772.02788,-569641.0071,850.4971563,189,292.9057694
wujiaochang,Wujiaochang,2,15,99287.63164,-569588.7218,938.9883725,109,183.928525
wujiaochang,Wujiaochang,2,16,99184.7826,-569537.0985,948.1581114,114,281.1535781
wujiaochang,Wujiaochang,2,17,99196.42618,-569484.04,923.2683852,138,264.3086304
wujiaochang,Wujiaochang,2,18,99670.86701,-569442.7751,835.6030947,78,211.8864043
wujiaochang,Wujiaochang,2,19,99370.04134,-569385.4751,936.5101986,63,81.78497313
wujiaochang,Wujiaochang,2,20,99010.29316,-569343.5486,976.2039792,109,435.602737
wujiaochang,Wujiaochang,2,21,99548.30489,-569277.1938,903.7656135,45,106.3397624
wujiaochang,Wujiaochang,2,22,99646.01044,-569235.3186,810.5003143,33,207.712756
wujiaochang,Wujiaochang,2,23,99631.9902,-569175.1061,795.5321813,125,199.7275151
wujiaochang,Wujiaochang,2,24,99414.47822,-569131.6275,862.9975341,44,12.4263225
wujiaochang,Wujiaochang,2,25,99455.54115,-569080.0804,845.0655264,58,33.56735901
wujiaochang,Wujiaochang,2,26,99770.71331,-569027.3612,845.3310874,38,352.4089366
wujiaochang,Wujiaochang,2,27,99449.08677,-568982.3125,860.5897767,32,36.83225814
wujiaochang,Wujiaochang,2,28,99523.85017,-568925.4885,904.7108162,37,116.8574415
wujiaochang,Wujiaochang,2,29,99815.27002,-568870.021,856.0041959,40,412.3387632
wujiaochang,Wujiaochang,2,30,99457.34363,-568812.9152,936.4991691,30,61.83368104
wujiaochang,Wujiaochang,2,31,99548.40724,-568760.9069,942.4657515,23,157.605311
wujiaochang,Wujiaochang,2,32,99413.28638,-568704.0031,1166.896711,24,28.79975149
wujiaochang,Wujiaochang,2,33,99485.09344,-568652.8589,1169.529914,20,105.3104082
wujiaochang,Wujiaochang,2,34,99542.8684,-568602.3803,1161.874982,64,167.8035965
wujiaochang,Wujiaochang,2,35,100187.6809,-568557.9155,942.2033327,53,813.8464786
wujiaochang,Wujiaochang,2,36,99610.50432,-568501.9885,1292.772482,30,245.0535499
wujiaochang,Wujiaochang,2,37,100041.0446,-568444.7368,1031.987511,74,679.1482286
wujiaochang,Wujiaochang,2,38,99855.59876,-568400.6535,1323.465507,33,498.9844035
wujiaochang,Wujiaochang,2,39,99922.94855,-568360.7221,1440.810105,56,569.9591256
wujiaochang,Wujiaochang,2,40,99524.20202,-568300.7419,1353.775286,32,179.1216996
wujiaochang,Wujiaochang,2,41,99305.49034,-568248.4443,1230.972538,30,33.34308828
wujiaochang,Wujiaochang,2,42,99523.70715,-568197.9574,1570.29136,27,188.8139688
wujiaochang,Wujiaochang,2,43,99682.00402,-568145.846,1333.817968,26,351.4952797
wujiaochang,Wujiaochang,2,44,99340.68249,-568092.8395,1471.811212,25,17.10748406
wujiaochang,Wujiaochang,2,45,99434.12964,-568041.378,1614.278182,21,115.1937585
wujiaochang,Wujiaochang,2,46,99609.96458,-567990.1167,1426.998807,20,295.2432831
wujiaochang,Wujiaochang,2,47,98746.02972,-567928.9576,1565.348726,71,558.3780426
wujiaochang,Wujiaochang,2,48,99911.06555,-567889.6519,1005.35208,42,604.8180579
wujiaochang,Wujiaochang,2,49,98318.24133,-567828.387,1368.796016,58,974.0941545
wujiaochang,Wujiaochang,2,50,99548.22224,-567778.5098,1356.040766,21,254.7753597
wujiaochang,Wujiaochang,2,51,100052.567,-567734.9236,877.7739611,55,760.9566866
wujiaochang,Wujiaochang,2,52,98941.09097,-567676.2289,1587.886324,49,339.2314928
wujiaochang,Wujiaochang,2,53,99782.11426,-567617.4421,1447.939993,56,503.4780363
wujiaochang,Wujiaochang,2,54,98288.78584,-567580.8935,1252.383216,65,978.8776901
wujiaochang,Wujiaochang,2,55,100219.3145,-567511.5094,847.3756389,49,949.0239142
wujiaochang,Wujiaochang,2,56,99995.74364,-567471.0747,1014.931416,27,730.5606175
wujiaochang,Wujiaochang,2,57,99121.71487,-567418.3626,1374.587165,17,133.9452544
wujiaochang,Wujiaochang,2,58,99723.79436,-567363.9397,1339.296893,48,470.5675092
wujiaochang,Wujiaochang,2,59,99244.72164,-567316.0327,1238.103777,21,1.514897989
wujiaochang,Wujiaochang,2,60,98648.06362,-567260.2938,1237.068049,14,589.5973841
