site,scope,segment,feature_type,target,feature,mean_abs_shap,rank
nanjingdonglu,segment4,4.0,individual,deviation,ceiling.near,20.53453177159829,2
nanjingdonglu,segment4,4.0,individual,deviation,box.far,18.97894448599021,3
nanjingdonglu,segment4,4.0,individual,deviation,person.middle,16.927357404952335,4
nanjingdonglu,segment4,4.0,individual,deviation,ceiling.middle,11.785171048635863,5
nanjingdonglu,segment4,4.0,individual,deviation,wall.far,10.983096282209166,6
nanjingdonglu,segment4,4.0,individual,deviation,floor.far,9.970151244457787,7
nanjingdonglu,segment4,4.0,individual,deviation,person.near,8.62642248405027,8
nanjingdonglu,segment4,4.0,individual,deviation,floor.middle,8.061286533315272,9
nanjingdonglu,segment4,4.0,individual,deviation,light.middle,7.039149983398982,10
nanjingdonglu,segment4,4.0,individual,deviation,wall.near,6.538699458743,11
nanjingdonglu,segment4,4.0,individual,deviation,person.far,4.402386373841085,12
nanjingdonglu,segment4,4.0,comprehensive,velocity,clutter_far_degree,17.28722248109636,1
nanjingdonglu,segment4,4.0,comprehensive,velocity,clutter_near_degree,17.038683083581287,2
nanjingdonglu,segment4,4.0,comprehensive,velocity,clutter_middle_degree,8.38264333181935,3
nanjingdonglu,segment4,4.0,comprehensive,velocity,obstacle_middle_density,6.181278479891034,4
nanjingdonglu,segment4,4.0,comprehensive,velocity,near_ratio,6.047327490084392,5
nanjingdonglu,segment4,4.0,comprehensive,velocity,obstacle_near_density,5.227792469717704,6
nanjingdonglu,segment4,4.0,comprehensive,velocity,far_ratio,3.3721201767508444,7
nanjingdonglu,segment4,4.0,comprehensive,velocity,visibility_near_ratio,2.7472623257555906,8
nanjingdonglu,segment4,4.0,comprehensive,velocity,middle_ratio,2.5430660021916385,9
nanjingdonglu,segment4,4.0,comprehensive,velocity,visibility_middle_ratio,0.46195364280872286,10
nanjingdonglu,segment4,4.0,comprehensive,velocity,visibility_far_ratio,0.006935349416823498,11
nanjingdonglu,segment4,4.0,comprehensive,velocity,obstacle_far_density,0.0,12
nanjingdonglu,segment4,4.0,comprehensive,deviation,clutter_far_degree,33.91230632746878,1
nanjingdonglu,segment4,4.0,comprehensive,deviation,clutter_middle_degree,33.03000631374979,2
nanjingdonglu,segment4,4.0,comprehensive,deviation,clutter_near_degree,21.397822436203928,3
nanjingdonglu,segment4,4.0,comprehensive,deviation,far_ratio,11.488349394210978,4
nanjingdonglu,segment4,4.0,comprehensive,deviation,near_ratio,6.95515139396776,5
nanjingdonglu,segment4,4.0,comprehensive,deviation,middle_ratio,6.513148528355841,6
nanjingdonglu,segment4,4.0,comprehensive,deviation,obstacle_near_density,6.276279342606896,7
nanjingdonglu,segment4,4.0,comprehensive,deviation,visibility_near_ratio,2.102264512293985,8
nanjingdonglu,segment4,4.0,comprehensive,deviation,obstacle_middle_density,2.0957035225985963,9
nanjingdonglu,segment4,4.0,comprehensive,deviation,visibility_middle_ratio,0.7879895838949372,10
nanjingdonglu,segment4,4.0,comprehensive,deviation,obstacle_far_density,0.0,11
nanjingdonglu,segment4,4.0,comprehensive,deviation,visibility_far_ratio,0.0,12
nanjingdonglu,segment5,5.0,individual,velocity,floor.far,22.34072468214939,1
nanjingdonglu,segment5,5.0,individual,velocity,floor.middle,18.03902097040003,2
nanjingdonglu,segment5,5.0,individual,velocity,wall.middle,16.846659144405677,3
nanjingdonglu,segment5,5.0,individual,velocity,person.middle,15.584446196672634,4
nanjingdonglu,segment5,5.0,individual,velocity,person.far,14.46484462451388,5
