site,scope,feature_type,target,rank_in_selected_set,feature
nanjingdonglu,segment3,comprehensive,velocity,8,visibility_middle_ratio
nanjingdonglu,segment3,comprehensive,velocity,9,visibility_far_ratio
nanjingdonglu,segment3,comprehensive,velocity,10,clutter_near_degree
nanjingdonglu,segment3,comprehensive,velocity,11,clutter_middle_degree
nanjingdonglu,segment3,comprehensive,velocity,12,clutter_far_degree
nanjingdonglu,segment3,comprehensive,deviation,1,near_ratio
nanjingdonglu,segment3,comprehensive,deviation,2,middle_ratio
nanjingdonglu,segment3,comprehensive,deviation,3,far_ratio
nanjingdonglu,segment3,comprehensive,deviation,4,obstacle_near_density
nanjingdonglu,segment3,comprehensive,deviation,5,obstacle_middle_density
nanjingdonglu,segment3,comprehensive,deviation,6,obstacle_far_density
nanjingdonglu,segment3,comprehensive,deviation,7,visibility_near_ratio
nanjingdonglu,segment3,comprehensive,deviation,8,visibility_middle_ratio
nanjingdonglu,segment3,comprehensive,deviation,9,visibility_far_ratio
nanjingdonglu,segment3,comprehensive,deviation,10,clutter_near_degree
nanjingdonglu,segment3,comprehensive,deviation,11,clutter_middle_degree
nanjingdonglu,segment3,comprehensive,deviation,12,clutter_far_degree
nanjingdonglu,segment4,individual,velocity,1,ceiling.near
nanjingdonglu,segment4,individual,velocity,2,person.far
nanjingdonglu,segment4,individual,velocity,3,person.near
nanjingdonglu,segment4,individual,velocity,4,floor.middle
nanjingdonglu,segment4,individual,velocity,5,floor.near
nanjingdonglu,segment4,individual,velocity,6,wall.near
nanjingdonglu,segment4,individual,velocity,7,person.middle
nanjingdonglu,segment4,individual,velocity,8,floor.far
nanjingdonglu,segment4,individual,velocity,9,wall.middle
nanjingdonglu,segment4,individual,velocity,10,wall.far
nanjingdonglu,segment4,individual,velocity,11,ceiling.middle
nanjingdonglu,segment4,individual,velocity,12,ceiling.far
nanjingdonglu,segment4,individual,deviation,1,person.far
nanjingdonglu,segment4,individual,deviation,2,ceiling.near
nanjingdonglu,segment4,individual,deviation,3,floor.near
nanjingdonglu,segment4,individual,deviation,4,wall.near
nanjingdonglu,segment4,individual,deviation,5,person.middle
nanjingdonglu,segment4,individual,deviation,6,wall.far
nanjingdonglu,segment4,individual,deviation,7,ceiling.middle
nanjingdonglu,segment4,individual,deviation,8,floor.middle
nanjingdonglu,segment4,individual,deviation,9,person.near
nanjingdonglu,segment4,individual,deviation,10,light.middle
nanjingdonglu,segment4,individual,deviation,11,floor.far
nanjingdonglu,segment4,individual,deviation,12,box.far
nanjingdonglu,segment4,comprehensive,velocity,1,near_ratio
nanjingdonglu,segment4,comprehensive,velocity,2,middle_ratio
nanjingdonglu,segment4,comprehensive,velocity,3,far_ratio
nanjingdonglu,segment4,comprehensive,velocity,4,obstacle_near_density
nanjingdonglu,segment4,comprehensive,velocity,5,obstacle_middle_density
nanjingdonglu,segment4,comprehensive,velocity,6,obstacle_far_density
nanjingdonglu,segment4,comprehensive,velocity,7,visibility_near_ratio
nanjingdonglu,segment4,comprehensive,velocity,8,visibility_middle_ratio
nanjingdonglu,segment4,comprehensive,velocity,9,visibility_far_ratio
nanjingdonglu,segment4,comprehensive,velocity,10,clutter_near_degree
nanjingdonglu,segment4,comprehensive,velocity,11,clutter_middle_degree
nanjingdonglu,segment4,comprehensive,velocity,12,clutter_far_degree
nanjingdonglu,segment4,comprehensive,deviation,1,near_ratio
nanjingdonglu,segment4,comprehensive,deviation,2,middle_ratio
nanjingdonglu,segment4,comprehensive,deviation,3,far_ratio
nanjingdonglu,segment4,comprehensive,deviation,4,obstacle_near_density
nanjingdonglu,segment4,comprehensive,deviation,5,obstacle_middle_density
nanjingdonglu,segment4,comprehensive,deviation,6,obstacle_far_density
