site,station,scope,segment,feature_type,target,n_total,n_oof,cv_method,cv_r2,cv_mae,cv_rmse,fold_r2_mean,fold_r2_sd,training_r2
nanjingdonglu,East Nanjing Road,segment6,6,individual,deviation,150,150,random_5fold_seed42,0.5009130579431655,76.48522347139378,108.17884140788514,0.5093358584999985,0.1262926463007766,0.7645959060981258
nanjingdonglu,East Nanjing Road,segment6,6,comprehensive,velocity,150,150,random_5fold_seed42,0.6433532286015886,63.908822678822304,84.69870237532021,0.6391306249818087,0.032122246625487544,0.8503582749783506
nanjingdonglu,East Nanjing Road,segment6,6,comprehensive,deviation,150,150,random_5fold_seed42,0.3278348244982534,92.81619425110706,125.54292017766481,0.3146552479708185,0.09835270238087501,0.6611184245256463
nanjingdonglu,East Nanjing Road,segment7,7,individual,velocity,150,150,random_5fold_seed42,0.8330914966107036,33.36191596400135,44.07010006081734,0.8298654805717053,0.07701336899046873,0.9268159709203161
nanjingdonglu,East Nanjing Road,segment7,7,individual,deviation,150,150,random_5fold_seed42,0.6300133265635228,112.46956417205516,142.50653446368574,0.6063151186511083,0.12176887258276546,0.8381722519545556
nanjingdonglu,East Nanjing Road,segment7,7,comprehensive,velocity,150,150,random_5fold_seed42,0.8456517444844427,32.95394165802354,42.37948431036742,0.8429810932153998,0.04638291945540654,0.932230501033687
nanjingdonglu,East Nanjing Road,segment7,7,comprehensive,deviation,150,150,random_5fold_seed42,0.5405135611623,128.68869744572612,158.8100883050293,0.5101263300489147,0.06310237846009926,0.787941013105916
nanjingdonglu,East Nanjing Road,total,total,individual,velocity,1050,1050,random_5fold_seed42,0.867529739489066,73.27649653785933,99.97112945536742,0.8657710856010834,0.021886182403699477,0.9316848289307184
nanjingdonglu,East Nanjing Road,total,total,individual,deviation,1050,1050,random_5fold_seed42,0.5059770220026435,97.87919576522239,136.77756758027627,0.5116956173653582,0.06732159911358485,0.7085884824951862
nanjingdonglu,East Nanjing Road,total,total,comprehensive,velocity,1050,1050,random_5fold_seed42,0.6381877117884807,119.47960146009338,165.21788558356562,0.6349561425746038,0.02336140139447167,0.8273729599713726
nanjingdonglu,East Nanjing Road,total,total,comprehensive,deviation,1050,1050,random_5fold_seed42,0.4255055933614089,107.62152502839422,147.49734528139228,0.4351052536831732,0.08925176354743171,0.6700424823943163
wujiaochang,Wujiaochang,segment1,1,individual,velocity,150,150,random_5fold_seed42,0.609864084139222,31.69315992967802,69.50597376724242,0.6612723599085875,0.13395178603783436,0.8204024039489237
wujiaochang,Wujiaochang,segment1,1,individual,deviation,150,150,random_5fold_seed42,0.5995032393658024,53.359909506816685,89.32284855949841,0.64109752249392,0.20645314869677625,0.8464360032224822
